版本,优点,缺点,相对前代的具体改进,数据性质
v1,推理速度快；整图单次前向即可完成检测，流程端到端；背景假阳性较低；跨域泛化更稳定,同一网格单元难以同时检测多类目标；定位偏粗；小目标召回偏低,将检测建模为整图回归，替代「候选框提取 + 分类」的两阶段流程,机制综述（非同协议数值横比）
v2,相对 v1 召回与定位精度提升；锚框先验更贴合数据分布；一套权重可适配多输入分辨率,特征提取仍偏浅；极小目标与高密度场景表现有限,引入锚框与维度聚类；约束中心点落入网格单元；增加细粒度特征融合；引入多尺度训练,机制综述（非同协议数值横比）
v3,小目标检测明显增强；骨干表征能力更强；支持多标签分类,定位精度仍弱于强两阶段方法；结构与超参复杂度上升,加深骨干网络；采用三尺度预测；以多标签分类替代单标签约束,机制综述（非同协议数值横比）
v4,在实时约束下重新达到当时精度—速度前沿；训练与结构技巧形成可复用组合,模块组合多，调参与复现成本高；原工程栈易用性不及后续 PyTorch 体系,引入 CSP 骨干与 PAN 融合；配合 Mosaic、CIoU 等 BoF/BoS 训练与结构优化,机制综述（非同协议数值横比）
v5,工程易用性强：提供完整模型缩放档位，训练—验证—导出链路完整,经典配置仍为基于锚框的耦合头，迁移新数据时常需重估锚框；后期精度上限被后续架构超越,将前代方法产品化为缩放族、默认数据增强与统一导出流程,机制综述（非同协议数值横比）
v6,面向工业部署：推理路径简洁、吞吐高；量化友好；分类与定位任务更对齐,重参数化与量化训练需配套流程；与主流 Ultralytics 生态不完全通用；不同规模模型结构不完全统一,采用重参数化骨干/颈部、高效解耦头与无锚设计，并强化量化友好训练,机制综述（非同协议数值横比）
v7,网络加深后仍易于优化；在实时设定下精度与参数效率更优；可在无大规模预训练条件下取得强结果,主头引导与粗到细标签分配理解成本较高；面向拼接结构的缩放规则与常规宽深缩放不同,提出 E-ELAN；针对拼接架构设计复合缩放；规划重参数化适用范围；以主检测头引导辅助头学习,机制综述（非同协议数值横比）
v8,自定义数据适应性更好（无需调锚）；分类与回归解耦更清晰；检测/分割/姿态等任务接口统一,默认推理仍依赖 NMS；极限参数效率后续仍有优化空间；尚未系统引入注意力机制,采用 C2f；改为无锚解耦头与分布式框回归（DFL）；完成多任务产品化,机制综述（非同协议数值横比）
v9,缓解深层信息瓶颈，训练梯度更可靠；参数利用率更高；上述训练增强不增加推理开销,训练期存在辅助分支，训练计算更重；多任务一体化程度不及 v8/v11,引入可编程梯度信息（PGI）与通用高效层聚合网络（GELAN）,机制综述（非同协议数值横比）
v10,推理可去除 NMS，端到端部署更干净、延迟更稳定；同精度下模型往往更轻更快,一对一头需与一对多监督保持一致匹配；多任务覆盖面弱于 Ultralytics 主线,采用一致双分配（训练一对多、推理一对一），并系统性压缩冗余结构,机制综述（非同协议数值横比）
v11,相对 v8 精度提升且参数更省；对小目标与遮挡更有针对性；多任务模型档位齐全，适合作默认基线,默认仍依赖 NMS，并非端到端去后处理路线；若只比较部分论文峰值，不一定高于后续实验向版本,以 C3k2 替换 C2f，引入 C2PSA，并进一步轻量化检测头分类分支,机制综述（非同协议数值横比）
v12,在实时约束下引入注意力，增强全局关系建模，小规模模型精度进一步提升,训练显存占用更高；CPU 与部分导出路径可能变慢；大规模模型需额外残差设计以稳定优化,提出区域注意力与 R-ELAN，并结合高效注意力实现以控制计算与访存开销,机制综述（非同协议数值横比）
v13,由成对相关扩展到多目标高阶相关，复杂场景建模能力更强；在增强表达的同时尽量保持轻量,结构复杂度上升，同档延迟通常高于实用基线；中大模型上的边际收益递减,引入自适应超图相关增强（HyperACE）与全管线特征分发（FullPAD），并以深度可分离块控制复杂度,机制综述（非同协议数值横比）
v14,面向非理想成像：鱼眼、游戏到真实、无人机、全景等可在统一框架下处理,标准检测榜公开指标较少；场景变体与数据管线更重；优化目标不同于通用 COCO 刷榜,引入场景路由增强、域对齐、视角条件及可变形/球形等模块，转向跨域检测,机制综述（非同协议数值横比）
